Year,January,February,March,April,May,June,July,August,September,October,November,December
2006,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2007,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2008,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2009,Does not include a Friday the 13th,Includes a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th
2010,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2011,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2012,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2013,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th
2014,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2015,Does not include a Friday the 13th,Includes a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th
